Ref. Nr,Name of Flat,Address,Website Link:
001,Emerald Court ,"62, Emerald Court, St Henry Street, Sliema, SLM 1324",http://shortletsmalta.com/001-Emerald-Sliema-Penthouse.html
002,St Helen Ground,"16, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/002_Comfy_Sliema_Maaisonette
003,St Helen 1bd ,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/003_Cosy_Sliema_1-bedroom_Apt
004,St Helen Penthouse,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/004_Spectacular_Views_1-bedroom_Pth
004b,St Helen Studio,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/004b_Sliema_Studio_Pth
005,St Helen 2 bd,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/005_Spacious_2-bedroom_Apt
006,Muriel Flt 1,"11, Muriel Flt 1, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/006_Central_Sliema_2-Bedroom_Apartment.html
007,Muriel Flt 2,"11, Muriel Flt 2, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
008,Muriel Flt 3,"11, Muriel Flt 3, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
009,Muriel Flt 4,"11, Muriel Flt 4, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Sliema_Tigne_Area_2-bedroom_Apartment.html
010,Muriel Flt 5,"11, Muriel Flt 5, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
011,Muriel Flt 6,"11, Muriel Flt 6, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
012,Muriel Flt 7,"11, Muriel Flt 7, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
013,Muriel Flt 8,"11, Muriel Flt 8, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/Remarkable_1-bedroom_Apartment.html
014,Muriel Flt 9,"11, Muriel Flt 9, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/010_Preeminent_location_Sliema.html
015,Muriel Flt 10 ,"11, Muriel Flt 10, Matthew Pulis Street, Sliema, SLM 3053",http://shortletsmalta.com/015_Effulgent_Sliema_1-bedroom_Pth
016,"Sapphire Court, Grd Floor","12, Sapphire Flat 1, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/016_Sunny_2-bedroom_Apt
017,"Sapphire Court, 2bd","12, Sapphire Flat 2, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/017_Sunny_Sliema_Flat-2
018,"Sapphire Court, 1bd","12, Sapphire Flat 3, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/018_Spacious_1-bedroom_Apt
021,Rudolph Place Flt 1,"57, Flt 1, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/021_Foremost_Location_1-bedroom_Apt
022,Rudolph Place Flt 2,"57, Flt 2, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/022_Mainstay_%20Sliema_%20Apartment%20.html
023,Rudolph Place Flt 3,"57, Flt 3, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Roomy_1-bedroom_Apt
024,Rudolph Place Flt 4,"57, Flt 4, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
025,Rudolph Place Flt 5,"57, Flt 5, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Sliema_2-Bedroom_Apartment.html
026,Rudolph Place Flt 6,"57, Flt 6, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
027,Rudolph Place Flt 7,"57, Flt 7, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/027_Foremost_Location_2-bedroom_Apt
028,Rudolph Place Flt 8,"57, Flt 8, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Mainstay_Roomy_1-bedroom_Apt
029,Rudolph Place Flt 9,"57, Flt 9, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/024_Mainstay_Sliema_Center_Apartment.html
030,Rudolph Place Flt 10 ,"57, Flt 10, Rudolph Street, Sliema, SLM 1273",http://shortletsmalta.com/Sunny_Sliema_2-bedroom_Apt
031,Tigne 47,"47,Flt 5, Triq ix-Xatt ta' Tigne, Sliema, SLM 3011",http://shortletsmalta.com/031_Exceptional_Tigne_4-bd_Apt
039,Bayview Flt 2,"57, Borg Olivier Street, St Julians, STJ 1081",http://shortletsmalta.com/039_Fantastic_St'Julians_2-bedroom_Apt
040,Valletta Malcolm,"260C,Triq Sant' Orsla, Valletta VLT 123",http://shortletsmalta.com/040-Amazing-Valletta-Harbour-Views-2-bd.html
041,St Paul's Bay Seafront Apartment,"54, Flat 3, Bormio, Dawret il-Gzejjer, Buggibba, San Pawl il-Bahar, SPB 2503",http://shortletsmalta.com/041_Impressive_Seafront_2_bedroom_Apartment.html
047,Spinola Flt 3,"102, Flat 3, Spinola Road, St Julians, STJ 3019",http://shortletsmalta.com/047_Spinola_Duplex_4-bedroom_Apt
048,Spinola Penthouse,"102, Flat 5, Spinola Road, St Julians, STJ 3019",http://shortletsmalta.com/048_Spinola_Duplex_Pth
051,St helen,"17, Triq il- Freres, Sliema, SLM 1141",http://shortletsmalta.com/051-Sliema-Mainstay-1-Bedroom.html
052,The penthouse,"44, Flat 9, Amery Street, Sliema, SLM1701",http://shortletsmalta.com/The_penthouse_seafront.html
054,Villa Primula,"Villa Primula, Fuq il-Gonna, St Julains, STJ 1922, Malta",http://shortletsmalta.com/054-Villa-Primula-St-Julians.html
055,Neptunes Court. Flat 9,"47, Main Str, St. Julians,  STJ 1018",http://shortletsmalta.com/055_Exceptional_Views_St-Julians_4-bedroom_Apt
056,Emerald 2bd,"62, Emerald Court, Flat 2St Henry Street, Sliema, SLM 1324",http://shortletsmalta.com/056_Emerald_2-bedroom_Apt.html
057,Sliema House,"13,zahrija, Trejqet Emilio Lombari, Sliema, SLM 1060",http://shortletsmalta.com/057-Sliema-House.html
058,Balluta House,"12, Fabri lane St Julians, STJ 1330",http://shortletsmalta.com/058_Seaviews_Hilltop_House
059,Tulip Court ,"02,Tulip Court, Triq l-Imghazel, Swieqi, SWQ 3140",http://shortletsmalta.com/059_Tulip_2-bedroom_Apt
060,Sunflower Court ,"02, sunflower Court, Triq l-Imghazel, Swieqi, SWQ 3140",http://shortletsmalta.com/060_Sunflower_2-bedroom_Apt
061,Bastion View pth,"13, Censu Scerri Street, Sliema, SLM 3060",http://shortletsmalta.com/061_Bastions_Views_Sliema_Penthouse.html
062,Valletta,"Old Barrack, Triq il-Lanca, Valletta VLT1820",http://shortletsmalta.com/062_Waterfront_Valletta_House
063,Bastion view,"13, Censu Scerri Street, Sliema, SLM 3060",http://shortletsmalta.com/063-Bastion's-Views-Sliema-Aparment.html
064,"Tigne 44, Office space",", Triq ix-Xatt ta' Tigne, Sliema, SLM 3011",http://shortletsmalta.com/OfficeConcept.html
065,"Tigne 44, no 1 , 3-bedroom ","44, Flt 1, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/065_Outstanding_Tigne_3-bedroom_Apt
066,"Tigne 44, no 2 , 4-bedroom ","44, Flt 2, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
067,"Tigne 44, no 3 , 4-bedroom ","44, Flt 3, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
068,"Tigne 44, no 4 , 4-bedroom ","44, Flt 4, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
069,"Tigne 44, no 5 , 4-bedroom ","44, Flt 5, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
070,"Tigne 44, no 6 , 4-bedroom ","44, Flt 6, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
071,"Tigne 44, no 7 , 4-bedroom ","44, Flt 7, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
072,"Tigne 44, no 8 , 4-bedroom ","44, Flt 8, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
073,"Tigne 44, no 9, 3-bedroom pth","44, Flt 9, Triq ix-Xatt ta' Tigne, Sliema, SLM 3012",http://shortletsmalta.com/Exceptional_Tigne_Seafront.html
074,"Sapphire, no 4, 2-bedroom","12, Sapphire, Flat 4, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/074_Sunny_2-bedroom_with_terrace
075,"Sapphire, no 5","12, Sapphire, Flat 5, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/075_Sunny_Sliema_Central_Apt
076,"Sapphire, no 6","12, Sapphire, Flat 6, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/Sunny_2-bedroom_with_Jacuzzi
077,"Sapphire, no 7","12, Sapphire, Flat 7, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/Sunny_Sliema_2-bedroom_Apt
078,"Sapphire, no 8","12, Sapphire, Flat 8, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/Sunny_2-bedroom_with_Jacuzzi
079,"Sapphire, no 9","12, Sapphire, Flat 9, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/Sunny_Sliema_2-bedroom_Apt
080,"Sapphire, no 10, 2-bedroom pth","12, Sapphire, Flat 10, Manuel Dimech Street, Sliema, SLM 1058",http://shortletsmalta.com/080_Sundrenched_3-bedroom_Pth
081,"St Paul's, flat 1, 2nd Floor, 2bd","79 Delfin Court, Flat 1, Triq Patri Guzepp Calleja, St Paul's Bay, SPB 2732",http://shortletsmalta.com/Delfin_Court_2-Bedroom_Apt
082,"St Paul's, flat 2, 3rd Floor, 2bd","79 Delfin Court, Flat 2, Triq Patri Guzepp Calleja, St Paul's Bay, SPB 2732",http://shortletsmalta.com/Delfin_Court_2-Bedroom_Apt
083,"St Paul's, flat 3, 4th Floor, 2bd","79 Delfin Court, Flat 3, Triq Patri Guzepp Calleja, St Paul's Bay, SPB 2732",http://shortletsmalta.com/083_Delfin_Apt_witth_terrace
084,"St Paul's, flat 4, 5th Floor, 2bd","79 Delfin Court, Flat 4, Triq Patri Guzepp Calleja, St Paul's Bay, SPB 2732",http://shortletsmalta.com/Delfin_Court_2-Bedroom_Apt
085,"St Paul's, flat 5, pth 6th Floor, 2bd","79 Delfin Court, Flat 5, Triq Patri Guzepp Calleja, St Paul's Bay, SPB 2732",http://shortletsmalta.com/085_Delfin_Penthouse_with_Views
086,St julians Hill 4-bedroom Maisonette,"227, Bonsud, Triq L-Imhallef William Harding, Pembroke, PBK 1505",http://shortletsmalta.com/086_St'Julians_Hill_4-bedroom_Maisonette
090,St Julians Hill Duplex 4 bedroom apartment,"227, Bonsud, Triq L-Imhallef William Harding, Pembroke, PBK 1508",http://shortletsmalta.com/090_St'Julians_Hill_Duplex_Pth
093,Carob Hills - Villa Gaia,"Carob Hill, 59, Triq Ghajn Zejtuna, Santa Maria Estate, Mellieha",http://shortletsmalta.com/Carob-Hills_Villa_Gaia.html
094,Carob Hills - Villa Ghea,"Carob Hill, 59, Triq Ghajn Zejtuna, Santa Maria Estate, Mellieha",http://shortletsmalta.com/Carob-Hills_Villa_Ghea.html
095,Carob Hills - Villa Blu,"Carob Hill, 70, Triq il-Pont, Santa Maria Estate, Mellieha",http://shortletsmalta.com/Carob-Hills_Villa_Blu.html
096,Carob Hills - villa Goa,"Carob Hill, 70, Triq il-Pont, Santa Maria Estate, Mellieha",http://shortletsmalta.com/Carob-Hills_Villa_Goa.html
097,Carob Hills - Villa Ida,"Carob Hill, 70, Triq il-Pont, Santa Maria Estate, Mellieha",http://shortletsmalta.com/Carob-Hills_Villa_Ida.html
098,Carob Hills - Villa Dea,"Carob Hill, 70, Triq il-Pont, Santa Maria Estate, Mellieha",
099,Valletta 1 - maisonette 2bd,"34, Triq San Nicola, Valletta, VLT 1624",http://shortletsmalta.com/099_Borgo_San_Pawl_2-bedroom_Valletta_Maisonette
100,Valletta 2 - 1 bedroom,"149,Falt 1, Triq San Pawl, Valletta,VLT 1218 ",http://shortletsmalta.com/100_Borgo_San_Pawl_Valletta_1-bedroom.html
101,Valletta 3 - 1 bedroom,"149,Falt 2, Triq San Pawl, Valletta,VLT 1218 ",http://shortletsmalta.com/101_Living_Valletta_Cozy_1-bedroom_Apartment.html
102,Valletta 4 - 2 bedroom duplex large,"149,Falt 3, Triq San Pawl, Valletta,VLT 1219",http://shortletsmalta.com/102_Living_Valletta_Duplex_2-bedroom.html
103,Valletta 5 - 2 bedroom duplex low ceiling,"149,Falt 4, Triq San Pawl, Valletta,VLT 1220",http://shortletsmalta.com/103_Valletta_2-bedroom_Loft.html
104,Valletta duplex penthouse,"149,Falt 5, Triq San Pawl, Valletta,VLT 1221",http://shortletsmalta.com/Amazing_Valletta_Harbour_Views_Penthouse.html
105,Gzira 1-bedroom,"21, Falt 1, Nazju Ellul Street, Gzira, GZR 1621",http://shortletsmalta.com/Bright_Cozy_Gzira_1-bedroom_Apartment.html
106,Gzira 1-bedroom,"21, Falt 2, Nazju Ellul Street, Gzira, GZR 1622",http://shortletsmalta.com/Bright_Cozy_Gzira_1-bedroom_Apartment.html
107,Gzira 1-bedroom,"21, Falt 3, Nazju Ellul Street, Gzira, GZR 1623",http://shortletsmalta.com/Bright_Cozy_Gzira_1-bedroom_Apartment.html
108,Gzira 1-bedroom,"21, Falt 4, Nazju Ellul Street, Gzira, GZR 1624",http://shortletsmalta.com/Bright_Cozy_Gzira_1-bedroom_Apartment.html
109,Gzira 2bd grd,"7, Flat 1, Triq l-Immakulata Kuncizzjoni, Gzira, GZR 1140",http://shortletsmalta.com/109_Contemporary_Central_2bd_Gzira.html
110,Gzira 3-bd,"7, Flat 2, Triq l-Immakulata Kuncizzjoni, Gzira, GZR 1140","http://shortletsmalta.com/Contemporary,-Bright-and-Centrally-Located-3-Bedroom-Ap.html"
111,Gzira 3-bd,"7, Flat 3, Triq l-Immakulata Kuncizzjoni, Gzira, GZR 1140","http://shortletsmalta.com/Contemporary,-Bright-and-Centrally-Located-3-Bedroom-Ap.html"
112,Gzira 3-bd,"7, Flat 4, Triq l-Immakulata Kuncizzjoni, Gzira, GZR 1140","http://shortletsmalta.com/Contemporary,-Bright-and-Centrally-Located-3-Bedroom-Ap.html"
113,Gzira 2bd pth,"7, Flat 5, Triq l-Immakulata Kuncizzjoni, Gzira, GZR 1140",http://shortletsmalta.com/113_Contemporary_Bright_2-bedroom_Penthouse.html
114,Gzira 3bd room,"80, Falt 1, Triq Sir Patrick Stuart, GZR 1050",http://shortletsmalta.com/BlueBay_Gzira_3-bedroom.html
115,Gzira 3bd room,"80, Falt 2, Triq Sir Patrick Stuart, GZR 1050",http://shortletsmalta.com/BlueBay_Gzira_3-bedroom.html
116,Gzira 3bd room,"80, Falt 3, Triq Sir Patrick Stuart, GZR 1050",http://shortletsmalta.com/BlueBay_Gzira_3-bedroom.html
117,Gzira 3bd room,"80, Falt 4, Triq Sir Patrick Stuart, GZR 1050",http://shortletsmalta.com/BlueBay_Gzira_3-bedroom.html
118,Gzira 2bd pth,"80, Falt 5, Triq Sir Patrick Stuart, GZR 1050",http://shortletsmalta.com/118_Bluebay_Gzira_Penthouseh.html
119,Swieqi house,"49, Triq il-Wasliet, Swieqi, SWQ 3110","http://shortletsmalta.com/119-Fantastic,-St-Julains-Family-House.html"
120,Mellieha pth,"57, Triq ta-Salib, Mellieha, MLH1437",http://shortletsmalta.com/Marvelous-2-bedroom-Penthouse-with-Seaviews.html
121,Mellieha pth,"57, Triq ta-Salib, Mellieha, MLH1438",http://shortletsmalta.com/Marvelous-2-bedroom-Penthouse-with-Seaviews.html
